"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Ournani Z.; Rouvoy R.; Rust P.; Penhoat J.","Ournani, Zakaria (57209363774); Rouvoy, Romain (23089521900); Rust, Pierre (57192385729); Penhoat, Joel (52264483100)","57209363774; 23089521900; 57192385729; 52264483100","Tales from the Code #2: A Detailed Assessment of Code Refactoring’s Impact on Energy Consumption","2022","Communications in Computer and Information Science","1622 CCIS","","","94","116","22","0","10.1007/978-3-031-11513-4_5","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85135082669&doi=10.1007%2f978-3-031-11513-4_5&partnerID=40&md5=1f113c384534c63ff88c29d9cbed657f","Conference paper","Final","","Scopus","2-s2.0-85135082669"
"Xi Z.; Miao W.; Zeng Z.; Zhang B.","Xi, Zesheng (57204622888); Miao, Weiwei (57192541666); Zeng, Zeng (57876478700); Zhang, Bo (57205953618)","57204622888; 57192541666; 57876478700; 57205953618","Security Analysis of Power Internet of Things Application Based on Guided Fuzzy Test","2022","Proceedings of SPIE - The International Society for Optical Engineering","12331","","1233136","","","","0","10.1117/12.2652284","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142447141&doi=10.1117%2f12.2652284&partnerID=40&md5=bc8af244c38de668de17aa6549df3e13","Conference paper","Final","","Scopus","2-s2.0-85142447141"
"Kruglov A.; Succi G.; Vasuez X.","Kruglov, Artem (57216030902); Succi, Giancarlo (7004757466); Vasuez, Xavier (57216852230)","57216030902; 7004757466; 57216852230","Incorporating energy efficiency measurement into CI\CD pipeline","2021","ACM International Conference Proceeding Series","","","","14","20","6","3","10.1145/3501774.3501777","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127515247&doi=10.1145%2f3501774.3501777&partnerID=40&md5=424bd1af9d56242c020bdc9141a22380","Conference paper","Final","","Scopus","2-s2.0-85127515247"
"Connolly Bree D.; Cinneide M.O.","Connolly Bree, Deaglan (57222310006); Cinneide, Mel O (55890614500)","57222310006; 55890614500","Automated Refactoring for Energy-Aware Software","2021","Proceedings - 2021 IEEE International Conference on Software Maintenance and Evolution, ICSME 2021","","","","689","694","5","3","10.1109/ICSME52107.2021.00082","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123381683&doi=10.1109%2fICSME52107.2021.00082&partnerID=40&md5=e01210017471407fbc6a50fc450dd21d","Conference paper","Final","","Scopus","2-s2.0-85123381683"
"Li Y.; Wang C.","Li, Yannan (57847742300); Wang, Chao (55647141100)","57847742300; 55647141100","Constraint Based Compiler Optimization for Energy Harvesting Applications","2023","Leibniz International Proceedings in Informatics, LIPIcs","263","","16","","","","0","10.4230/LIPIcs.ECOOP.2023.16","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168921029&doi=10.4230%2fLIPIcs.ECOOP.2023.16&partnerID=40&md5=948288b718a5e48ed28f72e11390359c","Conference paper","Final","","Scopus","2-s2.0-85168921029"
"You X.; Yang H.; Xuan Z.; Luan Z.; Qian D.","You, Xin (57203985126); Yang, Hailong (37762426600); Xuan, Zhibo (57852609300); Luan, Zhongzhi (7004392634); Qian, Depei (7102355459)","57203985126; 37762426600; 57852609300; 7004392634; 7102355459","PowerSpector: Towards Energy Efficiency with Calling-Context-Aware Profiling","2022","Proceedings - 2022 IEEE 36th International Parallel and Distributed Processing Symposium, IPDPS 2022","","","","1272","1282","10","3","10.1109/IPDPS53621.2022.00126","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136320522&doi=10.1109%2fIPDPS53621.2022.00126&partnerID=40&md5=a4c7ec945cc7c7fd1e2339150e3693df","Conference paper","Final","","Scopus","2-s2.0-85136320522"
"Kalinnik N.; Kiesel R.; Rauber T.; Richter M.; Rünger G.","Kalinnik, Natalia (26324966700); Kiesel, Robert (57203986002); Rauber, Thomas (7003317137); Richter, Marcel (57204799821); Rünger, Gudula (7004369253)","26324966700; 57203986002; 7003317137; 57204799821; 7004369253","A performance- and energy-oriented extended tuning process for time-step-based scientific applications","2021","Journal of Supercomputing","77","4","","3484","3515","31","0","10.1007/s11227-020-03402-y","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85089858828&doi=10.1007%2fs11227-020-03402-y&partnerID=40&md5=88b5634b894f9cddfc1c61f54e6981db","Article","Final","All Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85089858828"
"Arnaout M.; Chahine K.; Koubayssi A.; Mrad A.","Arnaout, Mohammad (36561139100); Chahine, Khaled (35228367300); Koubayssi, Ali (57201183902); Mrad, Andre (57201399010)","36561139100; 35228367300; 57201183902; 57201399010","Application Tool for Power System Analysis in Education and Research","2023","Computer Applications in Engineering Education","31","2","","346","364","18","1","10.1002/cae.22587","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85142657650&doi=10.1002%2fcae.22587&partnerID=40&md5=1b1fa94a5a4fa84f381c289de21e7cbe","Article","Final","","Scopus","2-s2.0-85142657650"
"Dutta A.; Choi J.; Jannesari A.","Dutta, Akash (57546677500); Choi, Jee (35730875000); Jannesari, Ali (25825073200)","57546677500; 35730875000; 25825073200","Power Constrained Autotuning using Graph Neural Networks","2023","Proceedings - 2023 IEEE International Parallel and Distributed Processing Symposium, IPDPS 2023","","","","535","545","10","2","10.1109/IPDPS54959.2023.00060","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166639301&doi=10.1109%2fIPDPS54959.2023.00060&partnerID=40&md5=46c2c53cf21a5bd1e73baf7fdb1aa4be","Conference paper","Final","All Open Access; Green Open Access","Scopus","2-s2.0-85166639301"
"Saju N.; Garg J.; Sehgal R.; Nagpal R.","Saju, Nissy (57965762800); Garg, Jaya (57423549900); Sehgal, Rajni (56016029300); Nagpal, Renuka (56368977900)","57965762800; 57423549900; 56016029300; 56368977900","Green Mining for Android Based Applications Using Refactoring Approach","2021","2021 9th International Conference on Reliability, Infocom Technologies and Optimization (Trends and Future Directions), ICRITO 2021","","","","","","","0","10.1109/ICRITO51393.2021.9596476","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123373550&doi=10.1109%2fICRITO51393.2021.9596476&partnerID=40&md5=0305fc9835d04f196c5beff133580443","Conference paper","Final","","Scopus","2-s2.0-85123373550"
"Cheema S.; Khan G.N.","Cheema, Sunbal (57221330236); Khan, Gul N. (55876533600)","57221330236; 55876533600","GPU Auto-tuning Framework for Optimal Performance and Power Consumption","2023","ACM International Conference Proceeding Series","","","","1","6","5","1","10.1145/3589236.3589241","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163834542&doi=10.1145%2f3589236.3589241&partnerID=40&md5=e3ef7b43789e054e599c9e84a3f143ec","Conference paper","Final","","Scopus","2-s2.0-85163834542"
"Traini L.; Di Pompeo D.; Tucci M.; Lin B.; Scalabrino S.; Bavota G.; Lanza M.; Oliveto R.; Cortellessa V.","Traini, Luca (57201399696); Di Pompeo, Daniele (57188727238); Tucci, Michele (55317706000); Lin, Bin (57195074521); Scalabrino, Simone (57190400149); Bavota, Gabriele (57220148228); Lanza, Michele (56760055000); Oliveto, Rocco (15136561900); Cortellessa, Vittorio (6603764364)","57201399696; 57188727238; 55317706000; 57195074521; 57190400149; 57220148228; 56760055000; 15136561900; 6603764364","How Software Refactoring Impacts Execution Time","2022","ACM Transactions on Software Engineering and Methodology","31","2","25","","","","12","10.1145/3485136","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130721100&doi=10.1145%2f3485136&partnerID=40&md5=f9a34a6c34f1e01727e0e5282eebc127","Article","Final","","Scopus","2-s2.0-85130721100"
"Şanlıalp İ.; Öztürk M.M.; Yiğit T.","Şanlıalp, İbrahim (57216412166); Öztürk, Muhammed Maruf (55387379400); Yiğit, Tuncay (57223411924)","57216412166; 55387379400; 57223411924","Energy Efficiency Analysis of Code Refactoring Techniques for Green and Sustainable Software in Portable Devices","2022","Electronics (Switzerland)","11","3","442","","","","10","10.3390/electronics11030442","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123696731&doi=10.3390%2felectronics11030442&partnerID=40&md5=8fe011f33af431035e57ce272701b1b4","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85123696731"
