"Authors","Author full names","Author(s) ID","Title","Year","Source title","Volume","Issue","Art. No.","Page start","Page end","Page count","Cited by","DOI","Link","Document Type","Publication Stage","Open Access","Source","EID"
"Bobde S.; Phalnikar R.","Bobde, Sarika (57193133803); Phalnikar, Rashmi (26436009300)","57193133803; 26436009300","Cohesion Measure for Restructuring","2021","Smart Innovation, Systems and Technologies","195","","","609","614","5","2","10.1007/978-981-15-7078-0_59","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85096473870&doi=10.1007%2f978-981-15-7078-0_59&partnerID=40&md5=5b2d458638cea998a70cbd3d6241748e","Conference paper","Final","","Scopus","2-s2.0-85096473870"
"Albuquerque D.; Guimaraes E.; Perkusich M.; Rique T.; Cunha F.; Almeida H.; Perkusich A.","Albuquerque, Danyllo (57190744501); Guimaraes, Everton (55516441300); Perkusich, Mirko (37075430200); Rique, Thiago (57791717200); Cunha, Felipe (57210381836); Almeida, Hyggo (22733296600); Perkusich, Angelo (6701736103)","57190744501; 55516441300; 37075430200; 57791717200; 57210381836; 22733296600; 6701736103","On the Assessment of Interactive Detection of Code Smells in Practice: A Controlled Experiment","2023","IEEE Access","11","","","84589","84606","17","0","10.1109/ACCESS.2023.3302260","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85166779930&doi=10.1109%2fACCESS.2023.3302260&partnerID=40&md5=5af575013096f100c03a749fd683aadf","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85166779930"
"Martins L.; Ghaleb T.A.; Costa H.; Machado I.","Martins, Luana (57205433655); Ghaleb, Taher A. (55932635300); Costa, Heitor (26031311400); Machado, Ivan (36998427800)","57205433655; 55932635300; 26031311400; 36998427800","A comprehensive catalog of refactoring strategies to handle test smells in Java-based systems","2024","Software Quality Journal","32","2","","641","679","38","0","10.1007/s11219-024-09663-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186886998&doi=10.1007%2fs11219-024-09663-7&partnerID=40&md5=84cc5163a2bc3131e3bc22505fde6d5d","Article","Final","","Scopus","2-s2.0-85186886998"
"Alkandari M.A.; Kelkawi A.; Elish M.O.","Alkandari, Mohammad A. (57220334283); Kelkawi, Ali (57195365035); Elish, Mahmoud O. (55881992600)","57220334283; 57195365035; 55881992600","An Empirical Investigation on the Effect of Code Smells on Resource Usage of Android Mobile Applications","2021","IEEE Access","9","","9410530","61853","61863","10","4","10.1109/ACCESS.2021.3075040","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85104572199&doi=10.1109%2fACCESS.2021.3075040&partnerID=40&md5=d24e4568c0a9ab0b9e5eca21f8d08e0e","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85104572199"
"Fernandes S.; Aguiar A.; Restivo A.","Fernandes, Sara (35329707600); Aguiar, Ademar (35753041400); Restivo, André (26531800800)","35329707600; 35753041400; 26531800800","The Impact of a Live Refactoring Environment on Software Development","2024","Proceedings - International Conference on Software Engineering","","","","337","338","1","0","10.1145/3639478.3643100","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85194859369&doi=10.1145%2f3639478.3643100&partnerID=40&md5=44a2cb843b0a4843fc4dedb0b2b03b19","Conference paper","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85194859369"
"Mashaqbeh K.; Jebreen I.; Nabot A.; Al-Qerem A.; Salem A.A.","Mashaqbeh, Khitam (58666017700); Jebreen, Issam (55960428300); Nabot, Ahmad (56455257700); Al-Qerem, Ahmad (35365854400); Salem, Amer Abu (57195352868)","58666017700; 55960428300; 56455257700; 35365854400; 57195352868","Correspondence of OOP Refactoring Techniques in PL\SQL Environment: A Case Study of Agile Project Code","2023","Applied Mathematics and Information Sciences","17","6","","993","1002","9","0","10.18576/amis/170605","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85174903069&doi=10.18576%2famis%2f170605&partnerID=40&md5=af733c2844794b9b544dfe53d9a13766","Article","Final","","Scopus","2-s2.0-85174903069"
"Panighrahi R.; Kuanar S.K.; Kumar L.","Panighrahi, Rasmita (57710000500); Kuanar, Sanjay Kumar (55608980700); Kumar, Lov (56120791500)","57710000500; 55608980700; 56120791500","Cross-Project Software Refactoring Prediction Using Optimized Deep Learning Neural Network With the Aid of Attribute Selection","2022","International Journal of Open Source Software and Processes","13","1","","","","","0","10.4018/IJOSSP.300756","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85130738070&doi=10.4018%2fIJOSSP.300756&partnerID=40&md5=242b5facb6672ebf14f1465c699beb8f","Article","Final","","Scopus","2-s2.0-85130738070"
"Saborido R.; Ferrer J.; Chicano F.","Saborido, Rubén (56235977700); Ferrer, Javier (7202496933); Chicano, Francisco (19638250500)","56235977700; 7202496933; 19638250500","A Novel Formulation of the Software Cognitive Complexity Reduction Problem","2022","26th Jornadas de Ingenieria del Software y Bases de Datos, JISBD 2022","","","","","","","0","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85177865255&partnerID=40&md5=5c7d3b0d6b581f2b552e1d4a0552ea72","Conference paper","Final","","Scopus","2-s2.0-85177865255"
"Atwi H.; Lin B.; Tsantalis N.; Kashiwa Y.; Kamei Y.; Ubayashi N.; Bavota G.; Lanza M.","Atwi, Hassan (57422204300); Lin, Bin (57679095200); Tsantalis, Nikolaos (8839792600); Kashiwa, Yutaro (56685200200); Kamei, Yasutaka (24476112100); Ubayashi, Naoyasu (7801575374); Bavota, Gabriele (57220148228); Lanza, Michele (56760055000)","57422204300; 57679095200; 8839792600; 56685200200; 24476112100; 7801575374; 57220148228; 56760055000","PYREF: Refactoring Detection in Python Projects","2021","Proceedings - IEEE 21st International Working Conference on Source Code Analysis and Manipulation, SCAM 2021","","","","136","141","5","8","10.1109/SCAM52516.2021.00025","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85123293057&doi=10.1109%2fSCAM52516.2021.00025&partnerID=40&md5=7ddc5e923f24a7547e28a8a77255ba16","Conference paper","Final","","Scopus","2-s2.0-85123293057"
"Simatupang J.; Soeparno H.; Gaol F.L.; Arifin Y.","Simatupang, Johannes (59004973000); Soeparno, Haryono (55792439300); Gaol, Ford Lumban (24536664300); Arifin, Yulyani (56979390200)","59004973000; 55792439300; 24536664300; 56979390200","A Survey of Refactoring Techniques to Maximize Code Coverage Metric","2023","Proceedings - 2023 15th International Congress on Advanced Applied Informatics Winter, IIAI-AAI-Winter 2023","","","","32","36","4","0","10.1109/IIAI-AAI-Winter61682.2023.00015","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191460117&doi=10.1109%2fIIAI-AAI-Winter61682.2023.00015&partnerID=40&md5=45beb3cde9ade9eca61232b81b52205f","Conference paper","Final","","Scopus","2-s2.0-85191460117"
